Партия сырья,Вид сырья,Дата прихода,"Получено, м²","Остаток, м²"
Начальный остаток MR131,MR131,,4588.35,4588.35
Начальный остаток MR132,MR132,,38400.366,38400.366
Начальный остаток MR180,MR180,,2866,2866
Начальный остаток MR190,MR190,,31986.4,31986.4
Начальный остаток MR192,MR192,,77610.653,77610.653
Начальный остаток MR194,MR194,,414115.1,414115.1
Начальный остаток MR224,MR224,,40650.241,40650.241
Начальный остаток MR314L,MR314L,,26180,26180
Начальный остаток MW208,MW208,,1944.85,1944.85
Начальный остаток MW308,MW308,,2968541.624,2968541.624
Начальный остаток MW401,MW401,,73421.33,73421.33
Начальный остаток MW411,MW411,,371642.035,371642.035
Начальный остаток MW412,MW412,,61789,61789
Начальный остаток MWR074,MWR074,,2454.774,2454.774
Начальный остаток MWR110L,MWR110L,,1871.52,1871.52
Начальный остаток MWR112,MWR112,,133.356,133.356
Начальный остаток MWR113L,MWR113L,,52555.67,52555.67
Начальный остаток MWR118,MWR118,,76798.554,76798.554
Начальный остаток MWR200,MWR200,,455717.449,455717.449
Начальный остаток MWR230,MWR230,,58729.028,58729.028
Начальный остаток MWR233,MWR233,,90804.391,90804.391
"Начальный остаток MWR265,MR377",MWR265,,36839.012,36839.012
Начальный остаток MWR400L,MWR400L,,163688.932,163688.932
Начальный остаток MWR403L,MWR403L,,16809.924,16809.924
Начальный остаток MWR500L,MWR500L,,94983.274,94983.274
Начальный остаток Фольга горячего тиснения MB,Фольга горячего тиснения MB,,48743.284,48743.284
